Name,CPU,Chipset,Built-in Memory,Display Size,Price,Image
Oppo Reno 10X Zoom,Octa-core (1 x 2.84 GHz Kryo 485 + 3 x 2.42 GHz Kryo 485 + 4 x 1.8 GHz Kryo 485)                                                     ,Qualcomm SDM855 Snapdragon 855 (7 nm),"256GB Built-in, 8GB RAM",6.6 Inches,"Rs. 109,999",https://www.whatmobile.com.pk/admin/images/Oppo/OppoReno10XZoom-s.jpg
Samsung Galaxy A70,Octa-core (2 x 2.0 GHz Kryo 460 Gold + 6 x 1.7 GHz Kryo 460 Silver)                                                     ,Qualcomm SDM675 Snapdragon 675 (11 nm),"128GB Built-in, 6GB RAM",6.7 Inches,"Rs. 67,999",https://www.whatmobile.com.pk/admin/images/Samsung/SamsungGalaxyA70-s.jpg
Realme 3 Pro,Octa-core (2 x 2.2 GHz Kryo 360 Gold + 6 x 1.7 GHz Kryo 360 Silver)                                                     ,Qualcomm SDM710 Snapdragon 710 (10 nm),"64GB Built-in, 4GB RAM",6.3 Inches,"Rs. 35,499",https://www.whatmobile.com.pk/admin/images/Realme/Realme3Pro-s.jpg
Huawei Y9 Prime 2019,Octa-core (4 x 2.2 GHz Cortex-A73 + 4 x 1.7 GHz Cortex-A53)                                                     ,Hisilicon Kirin 710F (12 nm),"128GB Built-in, 4GB RAM",6.59 Inches,"Rs. 33,999",https://www.whatmobile.com.pk/admin/images/Huawei/HuaweiY9Prime2019-s.jpg
Vivo Y15,2.0 Ghz Octa Core Cortex-A53                                                     ,Mediatek MT6762 Helio P22 (12 nm),"64GB Built-in, 4GB RAM",6.4 Inches,"Rs. 31,999",https://www.whatmobile.com.pk/admin/images/Vivo/VivoY15-s.jpg
Honor 8S,2.0 Ghz Quad Core                                                     ,Mediatek MT6761 Helio A22 (12 nm),"32GB Built-in, 2GB RAM",5.71 Inches,"Rs. 18,999",https://www.whatmobile.com.pk/admin/images/Honor/Honor8S-s.jpg
Oppo Reno,Octa-core (2 x 2.2 GHz Kryo 360 Gold + 6 x 1.7 GHz Kryo 360 Silver)                                                     ,Qualcomm SDM710 Snapdragon 710 (10 nm),"128GB Built-in, 8GB RAM",6.4 Inches,"Rs. 69,999",https://www.whatmobile.com.pk/admin/images/Oppo/OppoReno-s.jpg
Samsung Galaxy S10 Plus 512GB,Octa-core (2 x 2.7 GHz Mongoose M4 + 2 x 2.3 GHz Cortex-A75 + 4 x 1.9 GHz Cortex-A55)                                                     ,Exynos 9820 Octa (8 nm),"512GB Built-in, 8GB RAM",6.4 Inches,"Rs. 219,999",https://www.whatmobile.com.pk/admin/images/Samsung/SamsungGalaxyS10Plus512GB-s.jpg
Vivo V15 Pro,Octa-core (2 x 2.0 GHz Kryo 460 Gold + 6 x 1.7 GHz Kryo 460 Silver)                                                     ,Qualcomm SDM675 Snapdragon 675 (11 nm),"128GB Built-in, 6GB RAM",6.4 Inches,"Rs. 59,999",https://www.whatmobile.com.pk/admin/images/Vivo/VivoV15Pro-s.jpg
Oppo F11 Pro,Octa-core (4 x 2.1 GHz Cortex-A73 + 4 x 2.0 GHz Cortex-A53)                                                     ,Mediatek Helio P70 (12nm),"128GB Built-in, 6GB RAM",6.53 Inches,"Rs. 54,999",https://www.whatmobile.com.pk/admin/images/Oppo/OppoF11Pro-s.jpg
